Dates,VIX,VSTOXX
1999-03-31,23.26,25.25
1999-04-30,25.07,23.74
1999-05-31,25.39,24.99
1999-06-30,21.09,23.34
1999-07-30,24.64,26.9
1999-08-31,24.45,24.96
1999-09-30,25.41,27.85
1999-10-29,22.2,21.94
1999-11-30,24.18,23.4
1999-12-31,24.64,31.1
2000-01-31,24.95,31.97
2000-02-29,23.37,28.78
2000-03-31,24.11,27.24
2000-04-28,26.2,28.13
2000-05-31,23.65,25.26
2000-06-30,19.54,22.42
2000-07-31,20.74,22.25
2000-08-31,16.84,19.62
2000-09-29,20.57,23.35
2000-10-31,23.63,25.3
2000-11-30,29.65,28.38
2000-12-29,26.85,26.23
2001-01-31,22.02,22.25
2001-02-28,28.35,23.31
2001-03-30,28.64,29.84
2001-04-30,25.48,21.21
2001-05-31,22.64,21.33
2001-06-29,19.06,20.34
2001-07-31,21.62,22.31
2001-08-31,24.92,27.49
2001-09-28,31.93,40.89
2001-10-31,33.56,40.75
2001-11-30,23.84,28.77
2001-12-31,23.8,26.71
2002-01-31,21.09,25.38
2002-02-28,21.59,25.23
2002-03-29,17.4,19.52
2002-04-30,21.91,24.85
2002-05-31,19.98,25.8
2002-06-28,25.4,36.11
2002-07-31,32.03,48.71
2002-08-30,32.64,46.82
2002-09-30,39.69,61.34
2002-10-31,31.14,45.07
2002-11-29,27.5,35.83
2002-12-31,28.62,51.21
2003-01-31,31.17,44.35
2003-02-28,29.63,44.5
2003-03-31,29.15,48.27
2003-04-30,21.21,31.8
2003-05-30,19.47,28.54
2003-06-30,19.52,27.53
2003-07-31,19.49,24.54
2003-08-29,18.63,24.66
2003-09-30,22.72,33.5
2003-10-31,16.1,22.52
2003-11-28,16.32,22.08
2003-12-31,18.31,21.16
2004-01-30,16.63,21.07
2004-02-27,14.55,18.06
2004-03-31,16.74,22.67
2004-04-30,17.19,22.73
2004-05-31,15.5,21.23
2004-06-30,14.34,18.5
2004-07-30,15.32,18.24
2004-08-31,15.29,18.75
2004-09-30,13.34,16.51
2004-10-29,16.27,17.37
2004-11-30,13.24,16.56
2004-12-31,13.29,14.07
2005-01-31,12.82,12.72
2005-02-28,12.08,12.89
2005-03-31,14.02,13.24
2005-04-29,15.31,16.792
2005-05-31,13.29,13.5138
2005-06-30,12.04,12.3777
2005-07-29,11.57,13.2763
2005-08-31,12.6,15.1539
2005-09-30,11.92,14.5562
2005-10-31,15.32,17.4308
2005-11-30,12.06,13.9602
2005-12-30,12.07,14.477
2006-01-31,12.95,15.8548
2006-02-28,12.34,15.0449
2006-03-31,11.39,14.0139
2006-04-28,11.59,14.7089
2006-05-31,16.44,23.0529
2006-06-30,13.08,18.3282
2006-07-31,14.95,18.5171
2006-08-31,12.31,16.1689
2006-09-29,11.98,16.2455
2006-10-31,11.1,14.5146
2006-11-30,10.91,15.5561
2006-12-29,11.56,14.83
2007-01-31,10.42,15.9174
2007-02-28,15.42,19.4973
2007-03-30,14.64,17.5427
2007-04-30,14.22,18.3379
2007-05-31,13.05,15.7865
2007-06-29,16.23,16.8985
2007-07-31,23.52,23.8246
2007-08-31,23.38,24.4721
2007-09-28,18.0,19.7088
2007-10-31,18.53,19.9915
2007-11-30,22.87,20.4255
2007-12-31,22.5,18.0605
2008-01-31,26.2,30.0471
2008-02-29,26.54,28.6914
2008-03-31,25.61,27.3083
2008-04-30,20.79,20.8781
2008-05-30,17.83,19.6841
2008-06-30,23.95,24.6668
2008-07-31,22.94,23.3294
2008-08-29,20.65,21.0605
2008-09-30,39.39,40.3874
2008-10-31,59.89,60.6773
2008-11-28,55.28,51.4443
2008-12-31,40.0,43.867
2009-01-30,44.84,44.7879
2009-02-27,46.35,42.8901
2009-03-31,44.14,42.4096
2009-04-30,36.5,36.8821
2009-05-29,28.92,33.0374
2009-06-30,26.35,30.2413
2009-07-31,25.92,28.1252
2009-08-31,26.01,29.5215
2009-09-30,25.61,26.8181
2009-10-30,30.69,31.3257
2009-11-30,24.51,30.2813
2009-12-31,21.68,24.0577
2010-01-29,24.62,26.7238
2010-02-26,19.5,24.3654
2010-03-31,17.59,20.5988
2010-04-30,22.05,28.89
2010-05-31,32.07,34.3976
2010-06-30,34.54,34.3161
2010-07-30,23.5,27.1611
2010-08-31,26.05,29.3735
2010-09-30,23.7,26.1124
2010-10-29,21.2,23.3884
2010-11-30,23.54,31.0728
2010-12-31,17.75,23.9165
2011-01-31,19.53,22.7339
2011-02-28,18.35,22.7141
2011-03-31,17.74,22.08
2011-04-29,14.75,18.4785
2011-05-31,15.45,20.353
2011-06-30,16.52,21.5622
2011-07-29,25.25,27.6238
2011-08-31,31.62,35.6495
2011-09-30,42.96,46.6796
2011-10-31,29.96,35.1198
2011-11-30,27.8,37.0829
2011-12-30,23.4,32.1544
2012-01-31,19.44,26.3081
2012-02-29,18.43,23.9289
2012-03-30,15.5,22.5463
2012-04-30,17.15,26.9511
2012-05-31,24.06,34.9478
2012-06-29,17.08,24.9463
2012-07-31,18.93,28.0088
2012-08-31,17.47,25.7034
2012-09-28,15.73,23.3836
2012-10-31,18.6,22.2123
2012-11-30,15.87,16.5548
2012-12-31,18.02,21.3534
2013-01-31,14.28,16.6395
2013-02-28,15.51,21.0046
2013-03-29,12.7,20.8944
2013-04-30,13.52,20.261
2013-05-31,16.3,19.6048
2013-06-28,16.86,21.8175
2013-07-31,13.45,19.0644
2013-08-30,17.01,23.4785
2013-09-30,16.6,19.4503
2013-10-31,13.75,15.888
2013-11-29,13.7,14.6502
2013-12-31,13.72,17.2549
2014-01-31,18.41,21.8188
2014-02-28,14.0,16.7667
2014-03-31,13.88,17.6639
2014-04-30,13.41,17.0713
2014-05-30,11.4,15.7845
2014-06-30,11.57,15.269
2014-07-31,16.95,19.1221
2014-08-29,11.98,17.1888
2014-09-30,16.31,17.8514
2014-10-31,14.03,20.3172
2014-11-28,13.33,18.0253
2014-12-31,19.2,26.1876
2015-01-30,20.97,24.731
2015-02-27,13.34,17.7528
2015-03-31,15.29,21.1004
2015-04-30,14.55,24.2128
2015-05-29,13.84,23.5386
2015-06-30,18.23,32.3071
2015-07-31,12.12,19.2878
2015-08-31,28.43,31.0718
2015-09-30,24.5,32.0459
2015-10-30,15.07,20.3569
2015-11-30,16.13,23.6503
2015-12-31,18.21,22.7102
2016-01-29,20.2,27.389
2016-02-29,20.55,29.7298
2016-03-31,13.95,23.4487
2016-04-29,15.7,24.033
2016-05-31,14.19,22.1149
2016-06-30,15.63,26.0765
2016-07-29,11.87,20.2451
2016-08-31,13.42,19.4166
2016-09-30,13.29,19.7693
2016-10-31,17.06,21.4449
2016-11-30,13.33,21.4372
2016-12-30,14.04,18.123
2017-01-31,11.99,17.3682
2017-02-28,12.92,16.2849
2017-03-31,12.37,16.5221
2017-04-28,10.82,17.0495
2017-05-31,10.41,14.5538
2017-06-30,11.18,17.2533
2017-07-31,10.26,13.9033
2017-08-31,10.59,15.6317
2017-09-29,9.51,12.1208
2017-10-31,10.18,11.9864
2017-11-30,11.28,13.4708
2017-12-29,11.04,13.5114
2018-01-31,13.54,15.1644
2018-02-28,19.85,18.0002
2018-03-30,19.97,17.4364
2018-04-30,15.93,13.7154
2018-05-31,15.43,17.6547
2018-06-29,16.09,16.6333
2018-07-31,12.83,12.5596
2018-08-31,12.86,15.6343
2018-09-28,12.12,14.7637
2018-10-31,21.23,20.3038
2018-11-30,18.07,18.4935
2018-12-31,25.42,23.8643
2019-01-31,16.57,15.1126
2019-02-28,14.78,13.5876
2019-03-29,13.71,15.2748
2019-04-30,13.12,13.2624
2019-05-31,18.71,17.4218
2019-06-28,15.08,13.7342
2019-07-31,16.12,14.3909
2019-08-30,18.98,17.6681
2019-09-30,16.24,15.8282
2019-10-31,13.22,13.7919
2019-11-29,12.62,13.174
2019-12-31,13.78,13.9548
2020-01-31,18.84,17.1542
2020-02-28,40.11,42.2369
2020-03-31,53.54,48.5926
2020-04-30,34.15,33.9105
2020-05-29,27.51,31.1263
2020-06-30,30.43,31.7179
2020-07-31,24.46,26.6625
2020-08-31,26.41,26.7213
2020-09-30,26.37,26.0598
2020-10-30,38.02,35.3472
2020-11-30,20.57,22.9149
2020-12-31,22.75,23.369
2021-01-29,33.09,29.0082
2021-02-26,27.95,26.8632
2021-03-31,19.4,17.9742
2021-04-30,18.61,20.6309
2021-05-31,16.76,19.0981
2021-06-30,15.83,18.1849
2021-07-30,18.24,20.9392
2021-08-31,16.48,18.7654
2021-09-30,23.14,23.2428
2021-10-29,16.26,17.6164
2021-11-30,27.19,30.0679
2021-12-31,17.22,19.2677
2022-01-31,24.83,27.0084
2022-02-28,30.15,35.293
2022-03-31,20.56,28.9898
2022-04-29,33.4,30.7732
2022-05-31,26.19,25.249
2022-06-30,28.71,29.7804
2022-07-29,21.33,22.3049
2022-08-31,25.87,27.9451
2022-09-30,31.62,30.7092
2022-10-31,25.88,24.8305
2022-11-30,20.58,21.2104
2022-12-30,21.67,20.8862
2023-01-31,19.4,18.5683
2023-02-28,20.7,19.5007
2023-03-31,18.7,19.4246
2023-04-28,15.78,17.4304
2023-05-31,17.94,19.9817
2023-06-30,13.59,13.6139
2023-07-31,13.63,16.2264
2023-08-31,13.57,16.0638
2023-09-29,17.52,17.4704
2023-10-31,18.14,19.7076
2023-11-30,12.92,13.815
2023-12-29,12.45,13.5747
